osan_id,paakohde_tyyppi_id,paatyyppi,alakohde_tyyppi_id,alatyyppi,materiaali_id,materiaali,rakenteellinen_kunnossapito,talvikunnossapito,tkp_kiireellisyys_lk,viher_hoitoluokkka_id,laatutaso_id,yllapidon_taso,yllapidon_taso_selite,puhtaanapito,puhtaanapito_vyohyke,aluetieto,alueen_nimi,alueen_kayttotarkoitus,viheralueen_id,viheralueen_nro,katualueen_id,katualueen_nro,kadunpitopaatos_pvm,osan_nro,osan_pituus,osan_leveys,osan_pinta_ala,paivitetty_pvm,datanomistaja,paivitetty_tietopalveluun,fid,x,y
249446,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,Leikkipuisto Orava,Leikkipuisto,67521,3087,,,,1025,0,0,0,2011-03-04,Helsinki/YLRE,2022-01-21,73100,25501880.4764,6676085.8921
249479,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,Leikkipuisto Orava,Leikkipuisto,67521,3087,,,,1058,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,73128,25501825.16,6676172.297
249496,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,Leikkipuisto Orava,Leikkipuisto,67521,3087,,,,1075,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,73137,25501799.9929,6676146.6122
249521,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,Leikkipuisto Orava,Leikkipuisto,67521,3087,,,,1100,0,0,0,2011-02-21,Helsinki/YLRE,2022-01-21,73157,25501842.8196,6676140.1842
249543,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,Leikkipuisto Orava,Asemakaavoitettu viheralue,67481,3085,,,,1007,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,73173,25501834.361,6676199.2353
249552,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Siilitie,Kokoojakatu tai -tie,,,7492,5479,1960-12-13,1145,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,73179,25502446.8331,6678022.2638
249555,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Siilitie,Kokoojakatu tai -tie,,,7492,5479,1960-12-13,1148,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,73182,25502433.9503,6678034.5669
249572,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Siilitie,Kokoojakatu tai -tie,,,7492,5479,1960-12-13,1165,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,73198,25502148.3502,6677757.1555
249573,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Siilitie,Kokoojakatu tai -tie,,,7492,5479,1960-12-13,1166,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,73199,25502115.7271,6677725.9088
249591,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Siilitie,Kokoojakatu tai -tie,,,7492,5479,1960-12-13,1184,0,0,0,2016-12-15,Helsinki/YLRE,2022-01-21,73215,25502103.1098,6677387.5325
